event_ID,name,description,date,time,postponed,cancelled,organiser_ID,community_ID
59,Digitized optimal data-warehouse Festival,"An annual gathering focused on digitized optimal data-warehouse festival in Keithshire, featuring Pick key their leg debate stop nice.",27/01/2026,22:14,FALSE,FALSE,138,23
60,Reduced asymmetric algorithm Festival,"Discover reduced asymmetric algorithm festival in North Carla, featuring Budget figure join per.",13/09/2024,3:48,TRUE,TRUE,129,17
61,Enterprise-wide stable solution Festival,"Dive into enterprise-wide stable solution festival in Lake Tracychester, featuring Drive for prove knowledge quickly which.",5/11/2024,23:36,TRUE,FALSE,104,3
62,Polarized zero administration superstructure Festival,"Dive into polarized zero administration superstructure festival in West Jacob, featuring Term while area.",14/01/2025,2:08,TRUE,FALSE,174,25
63,Implemented exuding archive Festival,"An annual gathering focused on implemented exuding archive festival in Port Terribury, featuring Everything whose first find factor see play.",5/01/2026,11:00,TRUE,TRUE,15,27
64,Digitized optimal data-warehouse Festival,"An annual gathering focused on digitized optimal data-warehouse festival in Keithshire, featuring Pick key their leg debate stop nice.",4/02/2025,11:19,FALSE,FALSE,7,23
65,Robust systemic strategy Festival,"Celebrate robust systemic strategy festival in South Nicoletown, featuring Better defense along performance.",5/06/2025,8:38,TRUE,TRUE,92,4
66,Enhanced object-oriented system engine Festival,"Celebrate enhanced object-oriented system engine festival in West Traciton, featuring Away interview true total attorney consider.",17/03/2025,9:02,TRUE,FALSE,163,6
67,Seamless scalable artificial intelligence Festival,"Discover seamless scalable artificial intelligence festival in South Marisachester, featuring Too change such.",5/10/2024,1:59,FALSE,TRUE,22,14
68,Sharable client-server adapter Festival,"This event highlights sharable client-server adapter festival in North Alanfort, featuring Color hotel cost defense local entire.",15/03/2026,8:23,TRUE,FALSE,164,42
69,Reduced asymmetric algorithm Festival,"Discover reduced asymmetric algorithm festival in North Carla, featuring Budget figure join per.",2/03/2026,6:48,TRUE,TRUE,107,17
70,Integrated methodical website Festival,"Bringing together people for integrated methodical website festival in Flowersland, featuring Election dream forget significant.",15/09/2024,0:08,FALSE,TRUE,200,29
71,Mandatory client-server forecast Festival,"Bringing together people for mandatory client-server forecast festival in Katherineview, featuring Character likely stand little easy level everybody design.",8/04/2026,11:47,TRUE,TRUE,143,32
72,Integrated methodical website Festival,"Bringing together people for integrated methodical website festival in Flowersland, featuring Election dream forget significant.",30/08/2025,12:36,TRUE,FALSE,53,29
73,Enterprise-wide stable solution Festival,"Dive into enterprise-wide stable solution festival in Lake Tracychester, featuring Drive for prove knowledge quickly which.",15/08/2025,8:31,TRUE,TRUE,85,3
74,Programmable uniform protocol Festival,"Discover programmable uniform protocol festival in Salazarmouth, featuring Bring possible without claim.",10/12/2024,21:56,FALSE,TRUE,183,44
75,Distributed bifurcated analyzer Festival,"Celebrate distributed bifurcated analyzer festival in East Michael, featuring Music fire current dinner add main better language.",16/05/2025,16:58,FALSE,TRUE,8,40
76,Distributed national solution Festival,"An annual gathering focused on distributed national solution festival in West Jeanne, featuring Why direction throughout successful special summer listen speech.",27/01/2026,18:13,FALSE,FALSE,164,11
77,Monitored dedicated pricing structure Festival,"This event highlights monitored dedicated pricing structure festival in East Jessicafurt, featuring Play hundred go money teacher mention then.",4/08/2025,11:35,TRUE,FALSE,163,24
78,Reactive grid-enabled analyzer Festival,"Celebrate reactive grid-enabled analyzer festival in Lake Haleyhaven, featuring Instead option administration oil second produce.",26/06/2025,23:20,TRUE,FALSE,18,31
79,Devolved background definition Festival,"Bringing together people for devolved background definition festival in East Teresaborough, featuring Certainly one father suddenly difficult return.",1/03/2026,10:16,FALSE,TRUE,38,36
80,Enhanced object-oriented system engine Festival,"Celebrate enhanced object-oriented system engine festival in West Traciton, featuring Away interview true total attorney consider.",25/10/2024,11:23,FALSE,TRUE,56,6
81,Persistent impactful Graphic Interface Festival,"Bringing together people for persistent impactful graphic interface festival in New Katie, featuring Quickly answer treatment area.",31/03/2025,16:23,FALSE,FALSE,62,13
82,Distributed bifurcated analyzer Festival,"Celebrate distributed bifurcated analyzer festival in East Michael, featuring Music fire current dinner add main better language.",3/04/2026,6:43,FALSE,TRUE,152,40
83,Sharable 4thgeneration framework Festival,"Celebrate sharable 4thgeneration framework festival in Williamstown, featuring Stuff officer board wall executive from.",27/06/2025,0:05,TRUE,FALSE,67,38
84,Enhanced bandwidth-monitored groupware Festival,"Take part in enhanced bandwidth-monitored groupware festival in Gregorybury, featuring Church market ball no forward spring.",25/01/2025,22:55,TRUE,TRUE,146,12
85,Pre-emptive logistical capability Festival,"Enjoy pre-emptive logistical capability festival in North Edwin, featuring Couple development bed such rule.",1/06/2025,6:29,TRUE,FALSE,101,30
86,Adaptive directional attitude Festival,"Bringing together people for adaptive directional attitude festival in Chanport, featuring Collection whatever campaign growth.",6/10/2024,23:32,FALSE,TRUE,129,21
87,Multi-lateral responsive ability Festival,"Experience multi-lateral responsive ability festival in Lake Christopherburgh, featuring People another include network upon audience.",25/10/2024,11:36,FALSE,TRUE,87,19
88,Adaptive context-sensitive implementation Festival,"This event highlights adaptive context-sensitive implementation festival in South Daniel, featuring Authority page cold scientist popular.",14/10/2025,6:14,TRUE,TRUE,12,8
89,Proactive systemic hierarchy Festival,"Bringing together people for proactive systemic hierarchy festival in South Joshualand, featuring Full write but they vote speech.",13/12/2025,13:14,TRUE,FALSE,99,18
90,Monitored dedicated pricing structure Festival,"This event highlights monitored dedicated pricing structure festival in East Jessicafurt, featuring Play hundred go money teacher mention then.",23/01/2025,1:48,FALSE,TRUE,194,24
91,Stand-alone clear-thinking budgetary management Festival,"Discover stand-alone clear-thinking budgetary management festival in Colemanburgh, featuring Eight impact yard officer they often.",31/08/2024,6:44,FALSE,FALSE,186,15
92,Enterprise-wide stable solution Festival,"Dive into enterprise-wide stable solution festival in Lake Tracychester, featuring Drive for prove knowledge quickly which.",27/11/2024,19:00,FALSE,FALSE,191,3
93,Fundamental composite knowledgebase Festival,"Take part in fundamental composite knowledgebase festival in Gardnerland, featuring Question democratic which environment want society.",5/04/2025,7:28,TRUE,FALSE,21,7
94,Self-enabling non-volatile hierarchy Festival,"Experience self-enabling non-volatile hierarchy festival in Timothyhaven, featuring War street recently.",26/06/2025,8:24,TRUE,FALSE,56,37
95,Mandatory client-server forecast Festival,"Bringing together people for mandatory client-server forecast festival in Katherineview, featuring Character likely stand little easy level everybody design.",12/12/2024,23:45,TRUE,TRUE,56,32
96,Diverse uniform interface Festival,"A celebration of diverse uniform interface festival in South Regina, featuring Voice ok price mouth attack.",20/03/2025,17:55,FALSE,FALSE,109,5
97,Monitored dedicated pricing structure Festival,"This event highlights monitored dedicated pricing structure festival in East Jessicafurt, featuring Play hundred go money teacher mention then.",12/03/2025,5:12,TRUE,TRUE,3,24
98,Visionary background model Festival,"Bringing together people for visionary background model festival in Lake Lisaburgh, featuring Past support major six political economic.",29/07/2025,18:10,TRUE,TRUE,86,26
99,Mandatory client-server forecast Festival,"Bringing together people for mandatory client-server forecast festival in Katherineview, featuring Character likely stand little easy level everybody design.",31/08/2024,13:26,FALSE,TRUE,70,32
100,User-friendly explicit paradigm Festival,"Take part in user-friendly explicit paradigm festival in Lake Amandafort, featuring General professional fight play stand whatever live.",20/05/2025,14:17,FALSE,FALSE,55,49
