community_ID,community_Name,community_Description,creator_ID,,mock event name,mock event description
38,Benton PLC in Lake Shawntown,A community based in Lake Shawntown centred on total commercial television.,57,,Sharable 4thgeneration framework Festival,"Celebrate sharable 4thgeneration framework festival in Williamstown, featuring Stuff officer board wall executive from."
39,Devolved zero-defect moderator in Julieport,A community based in Julieport centred on into significant.,42,,Extended composite artificial intelligence Festival,"Discover extended composite artificial intelligence festival in Dukeville, featuring Card strategy sing condition."
40,Bates PLC in Nicoleland,A community based in Nicoleland centred on sort task body.,49,,Distributed bifurcated analyzer Festival,"Celebrate distributed bifurcated analyzer festival in East Michael, featuring Music fire current dinner add main better language."
41,Fundamental dynamic approach in Walkerberg,A community based in Walkerberg centred on coach recognize the.,41,,De-engineered foreground throughput Festival,"This event highlights de-engineered foreground throughput festival in Jessicaland, featuring Continue share close personal including."
42,Parsons-Kirk in Port Tina,A community based in Port Tina centred on happy physical key industry.,27,,Sharable client-server adapter Festival,"This event highlights sharable client-server adapter festival in North Alanfort, featuring Color hotel cost defense local entire."
43,Devolved human-resource attitude in Hernandezbury,A community based in Hernandezbury centred on security.,2,,Expanded exuding array Festival,"Experience expanded exuding array festival in Kristineland, featuring Line rest until if able take."
44,Blake Group in Brianborough,A community based in Brianborough centred on catch part.,97,,Programmable uniform protocol Festival,"Discover programmable uniform protocol festival in Salazarmouth, featuring Bring possible without claim."
45,Pre-emptive eco-centric firmware in North Anthony,A community based in North Anthony centred on research nearly answer scientist.,24,,Future-proofed fresh-thinking website Festival,"An annual gathering focused on future-proofed fresh-thinking website festival in North Lauraburgh, featuring Effort time strong top doctor stage."
46,"Stevens, Perez and Gray in Martinezland",A community based in Martinezland centred on increase her.,15,,Phased national extranet Festival,"Experience phased national extranet festival in New Samuel, featuring Floor result season student federal on factor."
47,Networked empowering protocol in Wadeside,A community based in Wadeside centred on argue.,52,,Multi-lateral global database Festival,"Enjoy multi-lateral global database festival in Murrayside, featuring Through coach everything be color."
48,"Shelton, Ballard and Monroe in Port Tina",A community based in Port Tina centred on budget next.,9,,Stand-alone methodical time-frame Festival,"A celebration of stand-alone methodical time-frame festival in North Gregory, featuring Story value hour she."
49,Upgradable background alliance in Lake John,A community based in Lake John centred on subject scientist and.,20,,User-friendly explicit paradigm Festival,"Take part in user-friendly explicit paradigm festival in Lake Amandafort, featuring General professional fight play stand whatever live."
50,Collins PLC in Briggshaven,A community based in Briggshaven centred on along society.,47,,Inverse content-based leverage Festival,"Experience inverse content-based leverage festival in Hartmanville, featuring Always only turn social time."
51,Sharable modular service-desk in Veronicabury,A community based in Veronicabury centred on last ground ask.,1,,Optional user-facing policy Festival,"An annual gathering focused on optional user-facing policy festival in New Kelsey, featuring Above foreign note life research beyond Republican."
52,Noble-Singh in Port Jennystad,A community based in Port Jennystad centred on travel realize.,26,,Persistent executive Graphic Interface Festival,"Experience persistent executive graphic interface festival in Michaelport, featuring Hair on today game billion road ready wall."
53,User-friendly multi-state emulation in Haynesmouth,A community based in Haynesmouth centred on best general natural.,79,,Self-enabling asynchronous structure Festival,"Take part in self-enabling asynchronous structure festival in Jamieshire, featuring Thousand cultural action paper idea."
54,Melton PLC in Shawbury,A community based in Shawbury centred on discuss.,48,,Vision-oriented systemic budgetary management Festival,"Bringing together people for vision-oriented systemic budgetary management festival in Port Troytown, featuring Candidate travel project beautiful."
55,Customer-focused global application in East Tylermouth,A community based in East Tylermouth centred on list water movie quickly.,82,,Cross-platform reciprocal ability Festival,"A celebration of cross-platform reciprocal ability festival in Lake Ashleybury, featuring Sure quality challenge season street understand."
56,Thomas-Bond in Wheelerport,A community based in Wheelerport centred on know student.,63,,Open-architected radical throughput Festival,"Dive into open-architected radical throughput festival in Blakemouth, featuring Window community method Republican."
57,Diverse client-server portal in West Maryland,A community based in West Maryland centred on understand reveal.,29,,Mandatory scalable core Festival,"Bringing together people for mandatory scalable core festival in Lake Ryan, featuring Defense civil public outside maintain name stock."
58,"Mills, Jones and Sweeney in East Amandahaven",A community based in East Amandahaven centred on simple wonder.,23,,Cross-group context-sensitive portal Festival,"A celebration of cross-group context-sensitive portal festival in Scottport, featuring Role bar visit certainly company."
59,Future-proofed 6thgeneration workforce in North Katherine,A community based in North Katherine centred on test other people.,69,,Programmable discrete Graphical User Interface Festival,"Take part in programmable discrete graphical user interface festival in Smithborough, featuring Soon road mission real pass big here."
60,"Williams, Smith and Schmidt in Strongmouth",A community based in Strongmouth centred on knowledge activity high.,74,,Right-sized clear-thinking emulation Festival,"Celebrate right-sized clear-thinking emulation festival in Allenside, featuring Recently lead develop ago."
61,Distributed systematic encryption in North Jeffrey,A community based in North Jeffrey centred on benefit wear true.,26,,Virtual exuding paradigm Festival,"Enjoy virtual exuding paradigm festival in Muellerchester, featuring Product less unit deal citizen think."
62,"Jennings, Riley and Perry in Justinstad",A community based in Justinstad centred on grow always painting.,90,,Programmable content-based middleware Festival,"An annual gathering focused on programmable content-based middleware festival in Sandyland, featuring Paper meeting style fund compare onto relationship."
63,Multi-tiered bottom-line ability in New Nicholas,A community based in New Nicholas centred on thank.,45,,Reactive bottom-line matrix Festival,"Take part in reactive bottom-line matrix festival in Phillipsville, featuring Food carry factor we economy others."
64,Young LLC in Port Barbara,A community based in Port Barbara centred on forget from.,9,,Organized national collaboration Festival,"An annual gathering focused on organized national collaboration festival in Meghanview, featuring Shoulder discuss seven science management common."
65,Future-proofed secondary contingency in Christinefort,A community based in Christinefort centred on my five worker level.,67,,Secured impactful functionalities Festival,"Experience secured impactful functionalities festival in New Amandaborough, featuring Peace year trouble husband according."
66,Johnston Ltd in Stephanieton,A community based in Stephanieton centred on of finish hold fire.,82,,Cross-group bifurcated archive Festival,"Bringing together people for cross-group bifurcated archive festival in Suareztown, featuring Tax how on road defense."
67,Front-line optimizing architecture in New Alexander,A community based in New Alexander centred on myself lose have.,95,,Mandatory zero administration system engine Festival,"Take part in mandatory zero administration system engine festival in Nicholasmouth, featuring Near him little."
68,"Brown, Rivera and Kirby in West Debra",A community based in West Debra centred on control city value father.,47,,Cloned maximized success Festival,"Take part in cloned maximized success festival in Lake Daniel, featuring Glass think notice show small up black way."
69,Configurable asymmetric database in Cookville,A community based in Cookville centred on i trade company.,88,,Innovative tangible definition Festival,"Experience innovative tangible definition festival in Sotoshire, featuring Discuss child know painting what four."
70,Miller-Long in Devinhaven,A community based in Devinhaven centred on television loss but.,74,,Automated user-facing system engine Festival,"A celebration of automated user-facing system engine festival in Brownburgh, featuring Wait season top say off serious nice."
71,Adaptive user-facing toolset in North Brian,A community based in North Brian centred on trip chance commercial.,99,,Innovative 24hour open system Festival,"Enjoy innovative 24hour open system festival in Patriciaberg, featuring Ask even week say live."
72,Knight-Vazquez in West Robertberg,A community based in West Robertberg centred on history event specific.,49,,Persevering upward-trending archive Festival,"Dive into persevering upward-trending archive festival in East Bonnieborough, featuring Share by show black method surface forget focus."
73,Grass-roots maximized throughput in West Meghan,A community based in West Meghan centred on movie during.,4,,Diverse explicit hub Festival,"Bringing together people for diverse explicit hub festival in Aaronside, featuring What summer already family."
74,"Moses, Myers and Mason in Lake Tylerville",A community based in Lake Tylerville centred on wind writer.,2,,Ameliorated multi-state archive Festival,"Discover ameliorated multi-state archive festival in South Jessica, featuring Because buy spring tell election major."
75,Cloned composite model in East Anthony,A community based in East Anthony centred on may build.,87,,Monitored multimedia capability Festival,"Celebrate monitored multimedia capability festival in North Todd, featuring Sell animal sometimes society culture house though man."
76,Andrews Group in Bobbyberg,A community based in Bobbyberg centred on add already recently.,91,,Intuitive leadingedge structure Festival,"This event highlights intuitive leadingedge structure festival in Haleymouth, featuring Serve note idea your decision."
77,Customer-focused tertiary definition in East Roberta,A community based in East Roberta centred on charge since.,89,,Progressive bifurcated intranet Festival,"A celebration of progressive bifurcated intranet festival in West Kenneth, featuring Strategy sell keep media require sign stand."
78,Barrett-Mora in Tammymouth,A community based in Tammymouth centred on its they pm.,48,,Robust user-facing knowledge user Festival,"Enjoy robust user-facing knowledge user festival in South Rachaelfurt, featuring Thus suffer story pick office."
79,Exclusive holistic portal in West Colinfurt,A community based in West Colinfurt centred on off fire.,36,,Function-based incremental firmware Festival,"Celebrate function-based incremental firmware festival in Barnettfurt, featuring Fly writer run development without."
80,Pearson Group in West Jackson,A community based in West Jackson centred on more system.,1,,Configurable empowering open system Festival,"Enjoy configurable empowering open system festival in Karenborough, featuring Audience surface newspaper anyone federal across nearly."
81,Stand-alone maximized customer loyalty in Whitneyview,A community based in Whitneyview centred on despite mouth.,33,,Realigned attitude-oriented matrices Festival,"An annual gathering focused on realigned attitude-oriented matrices festival in Jacobhaven, featuring Produce top success size tend picture."
82,"Wilson, Hubbard and Anderson in Port Cindyside",A community based in Port Cindyside centred on develop above.,45,,Organic bottom-line intranet Festival,"This event highlights organic bottom-line intranet festival in Morrisborough, featuring State nation stay town civil three."
83,Networked radical function in Josephhaven,A community based in Josephhaven centred on for.,81,,Future-proofed reciprocal capacity Festival,"Bringing together people for future-proofed reciprocal capacity festival in East Dennisstad, featuring Physical evening light particularly out."
84,Lewis-Johnson in Timton,A community based in Timton centred on audience wind option.,52,,Open-architected zero administration productivity Festival,"Take part in open-architected zero administration productivity festival in West Bryanstad, featuring Option change see they high present poor stuff."
85,Object-based demand-driven analyzer in West Marciaville,A community based in West Marciaville centred on she.,16,,Realigned full-range monitoring Festival,"Experience realigned full-range monitoring festival in East Rachel, featuring Difficult great now woman visit."
86,Phillips-Tucker in East Regina,A community based in East Regina centred on minute if.,40,,Multi-tiered logistical intranet Festival,"This event highlights multi-tiered logistical intranet festival in Port Brianastad, featuring Stand experience service economic expert quite focus."
87,Compatible heuristic access in East Brendabury,A community based in East Brendabury centred on author.,4,,Public-key clear-thinking application Festival,"Discover public-key clear-thinking application festival in East Amy, featuring Use end task throw test west."
88,Smith Ltd in Port Michael,A community based in Port Michael centred on member tv.,34,,Front-line contextually-based moratorium Festival,"Bringing together people for front-line contextually-based moratorium festival in Loriside, featuring Citizen three even their score nice form."
89,Fundamental national interface in West Laura,A community based in West Laura centred on fine in matter.,92,,Right-sized dedicated neural-net Festival,"A celebration of right-sized dedicated neural-net festival in Susanbury, featuring Seat left wife view."
90,"Edwards, Brown and Watson in Lake Ricky",A community based in Lake Ricky centred on decade.,52,,Vision-oriented neutral functionalities Festival,"This event highlights vision-oriented neutral functionalities festival in North Patricia, featuring Factor medical page production develop indeed."
91,Customizable optimal definition in Johnfurt,A community based in Johnfurt centred on for just.,85,,Profit-focused 5thgeneration solution Festival,"Celebrate profit-focused 5thgeneration solution festival in Valenciaburgh, featuring Boy great how today decide."
92,"Johnson, Wallace and Strong in Tranfort",A community based in Tranfort centred on remember team big.,70,,Visionary global hub Festival,"Celebrate visionary global hub festival in South Caseyshire, featuring Management letter whose watch."
93,Integrated interactive contingency in Armstrongburgh,A community based in Armstrongburgh centred on more phone.,34,,Open-architected asymmetric ability Festival,"An annual gathering focused on open-architected asymmetric ability festival in Hoffmantown, featuring Section reality outside prevent too election education ground."
94,Banks-Morrow in Lake Kimberlychester,A community based in Lake Kimberlychester centred on happen run white.,18,,Profit-focused heuristic alliance Festival,"Experience profit-focused heuristic alliance festival in South James, featuring Student technology people next despite capital huge."
95,Extended 5thgeneration standardization in Kaneton,A community based in Kaneton centred on see admit.,42,,Ergonomic intangible Graphical User Interface Festival,"An annual gathering focused on ergonomic intangible graphical user interface festival in Lake Kristina, featuring Less some manage current if around."
96,Bruce-Lawrence in Amandachester,A community based in Amandachester centred on often.,57,,Team-oriented context-sensitive focus group Festival,"Discover team-oriented context-sensitive focus group festival in Bowmanborough, featuring Also medical lot."
97,Advanced next generation algorithm in Briannaborough,A community based in Briannaborough centred on energy.,83,,Configurable optimal standardization Festival,"Dive into configurable optimal standardization festival in Lake Davidberg, featuring Country happy scientist."
98,Chavez-Ellis in New Stephenhaven,A community based in New Stephenhaven centred on fund one able.,87,,Focused dynamic array Festival,"Celebrate focused dynamic array festival in South Cheyenne, featuring Fly stage share number allow."
99,Extended responsive implementation in Mercerhaven,A community based in Mercerhaven centred on two world.,69,,Exclusive incremental emulation Festival,"Enjoy exclusive incremental emulation festival in North Gregory, featuring List five member which purpose difficult community address."
100,Hernandez-Cunningham in North Donnaside,A community based in North Donnaside centred on hot painting.,61,,Universal demand-driven support Festival,"Bringing together people for universal demand-driven support festival in West Brittanyborough, featuring On as surface try film."
,Self-enabling responsive frame in Suttonbury,A community based in Suttonbury centred on possible budget red.,,,Devolved transitional interface Festival,"A celebration of devolved transitional interface festival in Jennifermouth, featuring Rich cell country clearly."
